#小鹤音形文本码表for PC搜狗拼音自定义短语
#用户许可协议：
#1.何海峰为“小鹤双拼、小鹤音形”输入方案的作者。
#2.本码表受著作权保护，只限您私人使用，不得修改和发布。
#3.未经授权，不得将本码表用于商业用途。
#著作权人：何海峰
#官方网站：flypy.com   QQ群：182883808
#本表贴入搜狗拼音自定义短语使用
jike,1=即可
jiyu,1=机遇
jiyz,1=既有
jiza,1=鸡杂
jizc,1=急躁
jizd,1=记载
jizg,1=激增
jizi,1=机子
jizj,1=积攒
jizu,1=机组
jjai,1=计将安出
jjb,1=精简版
jjbb,1=结结巴巴
jjbj,1=敬酒不吃吃罚酒
jjbr,1=岌岌不可终日
jjbt,1=节节败退
jjbu,1=经久不衰
jjbx,1=经久不息
jjbg,1=久假不归
jjbl,1=解决不了
jjch,1=经济舱
jjcu,1=荆棘丛生
jjcy,1=积极参与
jjdd,1=简简单单
jjdl,1=金鸡独立
jjex,1=见机而行
jjf,1=加减法
jjfa,1=激将法
jjfu,1=久经风霜
jjfv,1=急惊风撞着慢郎中
jjfz,1=积极分子
jjgu,1=肩胛骨
jjgl,1=犄角旮旯
jjgt,1=解甲归田
jjgy,1=九九归一
jjhx,1=几句话
jjhh,1=家家户户
jjhu,1=聚精会神
jjih,1=竞技场
jjii,1=进进出出
jjjj,1=斤斤计较
jjji,1=借酒浇愁
jjjz,1=戒骄戒躁
jjka,1=借记卡
jjkk,1=健健康康
jjkw,1=岌岌可危
jjky,1=久经考验
jjle,1=解决了
jjld,1=津津乐道
jjmf,1=解解闷
jjmm,1=急急忙忙
jjml,1=简洁明了
jjnm,1=近几年
jjnv,1=绞尽脑汁
jjny,1=经久耐用
jjpu,1=节节攀升
jjql,1=竭尽全力
jjri,1=节假日
jjrc,1=仅仅如此
jjrf,1=经纪人
jjrx,1=久居人下
jjs,1=晋级赛
jjsd,1=静极思动
jjsj,1=嫁鸡随鸡
jjsg,1=嫁鸡随鸡，嫁狗随狗
jjsn,1=竭尽所能
jjst,1=荆棘塞途
jjtm,1=近几天
jjtq,1=经济特区
jjtx,1=兼济天下
jjuj,1=旧金山
jjud,1=借鸡生蛋
jjuh,1=经济实惠
jjuz,1=狙击手
jjv,1=紧接着
jjve,1=佼佼者
jjvu,1=掎角之势
jjvv,1=叽叽喳喳
jjvx,1=眷眷之心
jjvd,1=积极主动
jjwf,1=降降温
jjww,1=叽叽歪歪
jjwm,1=籍籍无名
jjwt,1=解决问题
jjxk,1=积极性
jjxt,1=经济学
jjxd,1=借鸡下蛋
jjxu,1=见机行事
jjxj,1=经济学家
jjxl,1=涓涓细流
jjyt,1=井井有条
jjyj,1=家家有本难念的经
jjyu,1=炯炯有神
jjyw,1=津津有味
jjyy,1=兢兢业业
jjys,1=积极因素
jjyx,1=解决一下
jjzt,1=荆棘载途
jjui,1=久经沙场
jjul,1=节节胜利
jkai,1=敬爱
jkbc,1=警报
jkbd,1=叫苦不迭
jkbj,1=经办
jkbk,1=精兵
jkbn,1=竞标
jkbt,1=绝口不提
jkbu,1=颈部
jkbw,1=警备
jkcv,1=精粹
jkdd,1=惊呆
jkdc,1=精到
jkdi,1=境地
jkdm,1=经典
jkds,1=惊动
jkdv,1=警队
jkdu,1=精度
jkfd,1=艰苦奋斗
jkfh,1=警方
jkfw,1=经费
jkgo,1=经过
jkgc,1=警告
jkgj,1=竟敢
jkgk,1=精怪
jkgr,1=景观
jkgy,1=警棍
jkhx,1=精华
jkhd,1=惊骇
jkhj,1=精悍
jkhl,1=惊慌
jkhy,1=惊魂
jkhz,1=静候
jkia,1=警察
jkie,1=警车
jkig,1=京城
jkih,1=经常
jkiv,1=健康成长
jkji,1=经济
jkjk,1=静静
jkjb,1=精进
jkjm,1=精简
jkjp,1=境界
jkjq,1=敬酒
jkjt,1=警觉
jkju,1=京剧
jkjx,1=竞价
jkjn,1=救苦救难
jkks,1=惊恐
jkke,1=荆轲
jkkl,1=境况
jklc,1=敬老
jkli,1=经历
jklk,1=精灵
jkll,1=精良
jklm,1=精炼
jklo,1=经络
jklr,1=痉挛
jklt,1=叫苦连天
jklv,1=劲旅
jklw,1=惊雷
jkly,1=经纶
jkmb,1=警民
jkmc,1=经贸
jkmd,1=静脉
jkmf,1=荆门
jkmi,1=精密
jkmk,1=精明
jkmn,1=精妙
jkmo,1=静默
jkmm,1=镜面
jkmu,1=敬慕
jkmw,1=精美
jkng,1=尽可能
jknm,1=经年
jknw,1=境内
jkpb,1=精品
jkpf,1=井喷
jkpd,1=竞拍
jkpi,1=精辟
jkpm,1=镜片
jkpo,1=景颇
jkpw,1=敬佩
jkqi,1=惊奇
jkqk,1=敬请
jkql,1=京腔
jkqn,1=精巧
jkqr,1=警犬
jkqt,1=精确
jkqu,1=景区
jkrc,1=惊扰
jkrf,1=惊人
jkrj,1=竟然
jkrv,1=精锐
jksd,1=竞赛
jkse,1=景色
jksk,1=捷克斯洛伐克
jkss,1=惊悚
jksv,1=精髓
jktc,1=惊涛
jktd,1=静态
jkti,1=警惕
jktj,1=惊叹
jktk,1=静听
jktm,1=惊天
jkts,1=精通
jktu,1=净土
jkty,1=鲸吞
jktz,1=镜头
jkua,1=鲸鲨
jkue,1=劲射
jkuf,1=精神
jkuh,1=经商
jkui,1=警示
jkuu,1=经书
jkuv,1=净水
jkuz,1=经受
jkve,1=惊蛰
jkvg,1=竞争
jkvh,1=警长
jkvi,1=精致
jkvj,1=精湛
jkvl,1=精装
jkvs,1=警钟
jkvu,1=竞逐
jkvv,1=颈椎
jkvy,1=精准
jkvk,1=健康状况
jkwd,1=境外
jkwf,1=经文
jkwu,1=景物
jkwv,1=惊恐万状
jkww,1=敬畏
jkxb,1=精心
jkxi,1=惊喜
jkxk,1=惊醒
jkxl,1=镜像
jkxm,1=惊险
jkxn,1=经销
jkxr,1=精选
jkxt,1=经血
jkxx,1=惊吓
jkya,1=惊讶
jkyb,1=静音
jkye,1=敬业
jkyh,1=敬仰
jkyi,1=敬意
jkyj,1=经验
jkyk,1=经营
jkyl,1=金科玉律
jkyr,1=警员
jkyu,1=鲸鱼
jkyy,1=金口玉言
jkzg,1=净增
jkzi,1=镜子
jkzo,1=静坐
jkzu,1=京族
jkzz,1=竞走
jlbu,1=俱乐部
jlbd,1=接连不断
jlbw,1=江北
jlbs,1=基里巴斯
jlcj,1=江郎才尽
jlco,1=讲错
jlcs,1=姜葱
jldc,1=降到
jldi,1=降低
jlds,1=江东
jlew,1=尽力而为
jlgc,1=讲稿
jlgl,1=叽里呱啦
jlgo,1=讲过
jlgs,1=鸡零狗碎
jlgu,1=精力过剩
jlhe,1=江河
jlhr,1=解铃还须系铃人
jlhu,1=江湖
jlhv,1=将会
jlhx,1=讲话
jlig,1=奖惩
jlii,1=僵持
jlip,1=精力充沛
jljb,1=将近
jlji,1=降级
jljl,1=讲讲
jljp,1=讲解
jljq,1=讲究
jljx,1=降价
jljy,1=将军
jlju,1=僵局
jljs,1=加拉加斯
jlke,1=讲课
jllb,1=降临
jlld,1=将来
jlli,1=奖励
jllk,1=将领
jllo,1=降落
jllv,1=据理力争
jlmf,1=江门
jlmg,1=紧锣密鼓
jlnj,1=江南
jlpb,1=奖品
jlpd,1=奖牌
jlpo,1=吉隆坡
jlpm,1=纪录片
jlqi,1=将其
jlru,1=军令如山
jlsu,1=江苏
jlsj,1=降落伞
jltd,1=讲台
jlth,1=姜汤
jltj,1=讲坛
jltx,1=君临天下
jlug,1=缰绳
jluh,1=奖赏
jlui,1=僵尸
jluj,1=江山
jluu,1=讲述
jluv,1=降水
jlum,1=举例说明
jlve,1=江浙
jlvs,1=江中
jlvh,1=奖章
jlvl,1=奖状
jlvu,1=嗟来之食
jlvv,1=既来之，则安之
jlvg,1=捡了芝麻，丢了西瓜
jlww,1=降为
jlwf,1=降温
jlwm,1=价廉物美
jlwu,1=精力旺盛
jlwy,1=见利忘义
jlxi,1=江西
jlxl,1=奖项
jlxt,1=降雪
jlxu,1=降序
jlxx,1=见猎心喜
jlya,1=降压
jlyb,1=江阴
jlyc,1=将要
jlyj,1=讲演
jlyk,1=僵硬
jlys,1=将用
jlyt,1=急流勇退
jlyu,1=降雨
jlyz,1=酱油
jlzo,1=讲座
jlzc,1=降噪
jlzd,1=将在
jlzv,1=犟嘴
jlzy,1=鸡烂嘴巴硬
jldx,1=吉林大学
jmao,1=煎熬
jmbc,1=简报
jmbh,1=肩膀
jmbj,1=减半
jmbk,1=兼并
jmbm,1=简便
jmbp,1=鉴别
jmbw,1=兼备
jmcd,1=建材
jmce,1=检测
jmch,1=建仓
jmcc,1=健美操
jmda,1=简答
jmdc,1=见到
jmde,1=兼得
jmdh,1=建党
jmdk,1=鉴定
jmdm,1=检点
jmdn,1=剪掉
jmdp,1=间谍
jmdr,1=简短
jmdu,1=监督
jmdv,1=舰队
jmfa,1=减法
jmfg,1=剑锋
jmfh,1=建房
jmfj,1=简繁
jmfu,1=肩负
jmfw,1=减肥
jmgf,1=鸡鸣狗吠
jmgk,1=见怪
jmgo,1=见过
jmgr,1=监管
jmgu,1=兼顾
jmgv,1=见鬼
jmge,1=间隔
jmgd,1=鸡鸣狗盗
jmhc,1=减号
jmhh,1=建行
jmho,1=贱货
jmhr,1=减缓
jmhu,1=监护
jmhv,1=捡回
jmhx,1=简化
jmhy,1=旧貌换新颜
jmia,1=检查
jmif,1=奸臣
jmig,1=简称
jmih,1=建厂
jmii,1=坚持
jmij,1=减产
jmjb,1=渐进
jmji,1=剪辑
jmjm,1=渐渐
jmjn,1=尖叫
jmjp,1=间接
jmjt,1=坚决
jmju,1=艰巨
jmjx,1=减价
jmkc,1=监考
jmkd,1=剪开
jmke,1=剑客
jmkh,1=健康
jmkl,1=简况
jmks,1=监控
jmku,1=艰苦
jmkv,1=减亏
jmli,1=建立
jmlc,1=监牢
jmld,1=捡来
jmle,1=见了
jmll,1=见谅
jmlm,1=简练
jmlo,1=溅落
jmlt,1=简略
jmlz,1=简陋
jmma,1=简码
jmmb,1=贱民
jmmc,1=键帽
jmmd,1=贱卖
jmmj,1=减慢
jmmk,1=简明
jmmm,1=见面
jmmo,1=缄默
jmmp,1=歼灭
jmmw,1=健美
jmnj,1=艰难
jmnk,1=奸佞
jmnw,1=贱内
jmny,1=挤眉弄眼
jmpb,1=简拼
jmpi,1=健脾
jmpj,1=键盘
jmpk,1=简评
jmpu,1=简朴
jmqg,1=精明强干
jmqi,1=捡起
jmqk,1=减轻
jmql,1=坚强
jmqn,1=剑桥
jmqp,1=剪切
jmqr,1=健全
jmqu,1=减去
jmqv,1=静脉曲张
jmrf,1=兼任
jmro,1=减弱
jmrs,1=兼容
jmrv,1=尖锐
jmse,1=艰涩
jmsv,1=剪碎
jmso,1=检索
jmsp,1=鸡毛蒜皮
jmsu,1=减速
jmsy,1=减损
jmtz,1=箭头
jmtc,1=检讨
jmta,1=践踏
jmti,1=简体
jmtj,1=健谈
jmtk,1=坚挺
jmtp,1=剪贴
jmtv,1=减退
jmuc,1=减少
jmue,1=建设
jmuf,1=健身
jmui,1=见识
jmuu,1=简述
jmuv,1=减税
jmuz,1=坚守
jmut,1=金木水火土
jmva,1=奸诈
jmvf,1=坚贞
jmvg,1=见证
#N/A,10=#N/A
jmvl,1=健壮
jmvu,1=建筑
jmww,1=键位
jmwf,1=见闻
jmwd,1=见外
jmwh,1=健忘
jmwl,1=假冒伪劣
jmwq,1=举目无亲
jmwu,1=奸污
jmxb,1=坚信
jmxi,1=间隙
jmxk,1=饯行
jmxm,1=艰险
jmxn,1=减小
jmxp,1=间歇
jmxq,1=检修
jmxr,1=拣选
jmxs,1=奸雄
jmxy,1=简讯
jmya,1=减压
jmyb,1=奸淫
jmyc,1=简要
jmyh,1=救民于水火
jmyi,1=建议
jmyj,1=检验
jmyk,1=坚硬
jmyr,1=减员
jmyt,1=简约
jmyu,1=鉴于
jmyz,1=兼有
jmza,1=间杂
jmzc,1=建造
jmzd,1=健在
jmze,1=简则
jmzi,1=尖子
jmzw,1=奸贼
jnan,1=教案
jnao,1=骄傲
jnbf,1=脚本
jnbj,1=搅拌
jnbm,1=狡辩
jnbu,1=脚步
jnbw,1=脚背
jnbk,1=交兵
jncd,1=教材
jnch,1=窖藏
jnco,1=交错
jnda,1=较大
jndc,1=教导
jndd,1=交代
jndi,1=较低
jndk,1=校订
jndm,1=焦点
jndo,1=较多
jndr,1=较短
jnds,1=搅动
jndu,1=角度
jndv,1=校对
jnee,1=交恶
jnel,1=九牛二虎之力
jnfa,1=叫法
jnfd,1=酒囊饭袋
jnfg,1=交锋
jnfu,1=交付
jnfw,1=缴费
jngc,1=较高
jnge,1=交割
jngf,1=脚跟
jngl,1=较广
jngo,1=教过
jngr,1=教官
jngv,1=娇贵
jngw,1=交给
jngz,1=交媾
jnhc,1=较好
jnhe,1=交合
jnhg,1=骄横
jnhh,1=交行
jnhj,1=叫喊
jnhk,1=脚踝
jnhl,1=教皇
jnho,1=交货
jnhr,1=交换
jnhu,1=交互
jnhv,1=教会
jnhw,1=焦黑
jnhx,1=狡猾
jnhy,1=搅浑
jnia,1=交叉
jnid,1=交差
jnie,1=轿车
jnif,1=娇嗔
jnig,1=教程
jnih,1=较长
jnii,1=角尺
jnis,1=娇宠
jniu,1=交出
jniy,1=叫春
jnir,1=娇喘
jnjb,1=较近
jnji,1=交际
jnjk,1=交警
jnjm,1=脚尖
jnjn,1=教教
jnjp,1=交接
jnjt,1=叫绝
jnju,1=焦距
jnjy,1=借你吉言
jnke,1=教科
jnkj,1=校勘
jnkk,1=较快
jnkl,1=骄狂
jnkr,1=交款
jnku,1=叫苦
jnld,1=叫来
jnli,1=脚力
jnll,1=较量
jnlm,1=教练
jnln,1=脚镣
jnlo,1=角落
jnlq,1=交流
jnlr,1=搅乱
jnls,1=蛟龙
jnlv,1=焦虑
jnly,1=经年累月
jnma,1=叫骂
jnmd,1=叫卖
jnmf,1=叫门
jnmj,1=锦囊妙计
jnmm,1=脚面
jnmo,1=角膜
jnmp,1=剿灭
jnmu,1=酵母
jnmw,1=娇媚
jnna,1=缴纳
jnnf,1=娇嫩
jnnh,1=胶囊
jnnj,1=较难
jnnl,1=娇娘
jnni,1=今年年初
jnnd,1=今年年底
jnpb,1=纪念品
jnpd,1=教派
jnpf,1=脚盆
jnpm,1=胶片
jnpu,1=脚蹼
jnpw,1=交配
jnqi,1=娇气
jnqk,1=交情
jnql,1=较强
jnqm,1=交钱
jnqq,1=角球
jnqu,1=郊区
jnrh,1=叫嚷
jnro,1=较弱
jnrs,1=交融
jnrz,1=娇柔
jnrc,1=搅扰
jnse,1=角色
jnsi,1=绞死
jnso,1=教唆
jnts,1=交通
jnth,1=教堂
jnti,1=交替
jntj,1=交谈
jntk,1=叫停
jntn,1=教条
jntu,1=教徒
jntz,1=交投
jnua,1=绞杀
jnuc,1=较少
jnue,1=交涉
jnug,1=叫声
jnuh,1=脚上
jnui,1=教师
jnuu,1=教书
jnuv,1=胶水
jnuz,1=教授
jnva,1=狡诈
jnve,1=叫着
jnvf,1=较真
jnvg,1=矫正
jnvh,1=脚掌
jnvi,1=脚趾
jnvj,1=交战
jnvo,1=焦灼
jnvs,1=较重
jnvy,1=校准
jnwd,1=郊外
jnwh,1=交往
jnwj,1=较晚
jnwu,1=教务
jnww,1=较为
jnxb,1=交心
jnxk,1=侥幸
jnxn,1=较小
jnxp,1=缴械
jnxq,1=娇羞
jnxr,1=脚癣
jnxt,1=教学
jnxv,1=解囊相助
jnxx,1=脚下
jnxy,1=教训
jnxz,1=艰难险阻
jnya,1=脚丫
jnyb,1=脚印
jnyh,1=教养
jnyi,1=交易
jnyj,1=校验
jnym,1=九牛一毛
jnyr,1=较远
jnyt,1=校阅
jnyu,1=教育
jnyy,1=搅匀
jnyz,1=交友
jnzc,1=焦躁
jnzi,1=饺子
jnzo,1=叫做
jnzu,1=基诺族
jndx,1=暨南大学
jpai,1=节哀
jpan,1=结案
jpba,1=结巴
jpbc,1=解包
jpbd,1=洁白
jpbj,1=接班
jpbk,1=结冰
jpbm,1=街边
jpbw,1=戒备
jpcc,1=节操
jpcd,1=芥菜
jpcg,1=阶层
jpci,1=借此
jpcy,1=结存
jpda,1=解答
jpdc,1=街道
jpdd,1=接待
jpdg,1=街灯
jpdi,1=姐弟
jpdk,1=界定
jpdm,1=节点
jpdr,1=阶段
jpds,1=解冻
jpdu,1=解读
jpfa,1=揭发
jpfg,1=接风
jpfh,1=解放
jpfu,1=姐夫
jpfw,1=劫匪
jpgl,1=借光
jpgo,1=结果
jpgr,1=接管
jpgu,1=解雇
jpgv,1=接轨
jpgw,1=借给
jpgz,1=结构
jpgc,1=截稿
jpgd,1=鸡皮疙瘩
jpgg,1=桔梗
jphc,1=接好
jphe,1=结合
jphf,1=解恨
jphk,1=介怀
jpho,1=解惑
jphu,1=介乎
jphv,1=结汇
jphy,1=结婚
jphz,1=节后
jphh,1=就怕货比货
jpic,1=解嘲
jpig,1=竭诚
jpih,1=结肠
jpii,1=劫持
jpij,1=解馋
jpir,1=揭穿
jpiu,1=接触
jpiz,1=结仇
jpjb,1=接近
jpji,1=阶级
jpjk,1=结晶
jpjm,1=借鉴
jpjn,1=结交
jpjp,1=姐姐
jpjq,1=解救
jpjt,1=解决
jpju,1=结局
jpjx,1=节假
jpkd,1=解开
jpke,1=解渴
jpkr,1=借款
jpky,1=解困
jpkz,1=借口
jpld,1=借来
jple,1=借了
jpli,1=竭力
jplk,1=节令
jplm,1=接连
jplq,1=截留
jplt,1=劫掠
jplu,1=揭露
jplv,1=戒律
jply,1=结论
jpma,1=解码
jpmc,1=睫毛
jpmf,1=解闷
jpmg,1=结盟
jpmi,1=解密
jpmj,1=届满
jpmm,1=界面
jpmo,1=芥末
jpmu,1=节目
jpmw,1=姐妹
jpna,1=接纳
jpng,1=节能
jpnh,1=解囊
jpnj,1=劫难
jpnw,1=界内
jppk,1=截屏
jppb,1=解聘
jppd,1=节拍
jppi,1=洁癖
jppj,1=接盘
jppo,1=揭破
jppz,1=解剖
jpqm,1=借钱
jpqb,1=结亲
jpqi,1=节气
jpqk,1=结清
jpqq,1=接球
jpqu,1=截取
jpqx,1=接洽
jprf,1=接任
jprh,1=接壤
jpri,1=节日
jprj,1=截然
jpru,1=介入
jprw,1=家破人亡
jprx,1=家贫如洗
jpse,1=劫色
jpsj,1=解散
jpso,1=解锁
jpsr,1=结算
jpss,1=接送
jpsu,1=借宿
jptc,1=解套
jpti,1=接替
jptj,1=截瘫
jptk,1=接听
jptn,1=借条
jpto,1=解脱
jpts,1=接通
jptu,1=截图
jptz,1=街头
jpuc,1=介绍
jpue,1=结社
jpug,1=节省
jpuh,1=街上
jpui,1=解释
jpuo,1=解说
jpuu,1=结束
jpuz,1=接受
jpvc,1=接招
jpvd,1=借债
jpve,1=接着
jpvf,1=接诊
jpvh,1=结账
jpvi,1=截止
jpvj,1=接站
jpvr,1=结转
jpvs,1=接种
jpvu,1=借助
jpwd,1=界外
jpwf,1=接吻
jpwh,1=结网
jpwu,1=街舞
jpww,1=结尾
jpwy,1=就怕万一
jpxb,1=戒心
jpxi,1=解析
jpxl,1=借坡下驴
jpxm,1=界限
jpxn,1=揭晓
jpxr,1=节选
jpxu,1=金盆洗手
jpya,1=解压
jpyb,1=皆因
jpyc,1=解药
jpye,1=结业
jpyi,1=介意
jpyj,1=戒烟
jpyk,1=接应
jpyr,1=结缘
jpys,1=借用
jpyt,1=节约
jpyu,1=介于
jpyz,1=皆有
jpzz,1=节奏
jpza,1=结扎
jpze,1=诘责
jpzo,1=杰作
jpzu,1=景颇族
jqba,1=酒吧
jqbd,1=九百
jqbj,1=旧版
jqbk,1=救兵
jqbl,1=鸡犬不留
jqbn,1=鸡犬不宁
jqbp,1=久别
jqbq,1=坚强不屈
jqbu,1=就不
jqbv,1=将勤补拙
jqbw,1=酒杯
jqci,1=就此
jqcd,1=韭菜
jqcj,1=就餐
jqco,1=纠错
jqdb,1=夹枪带棒
jqdg,1=久等
jqdi,1=就地
jqdm,1=酒店
jqdr,1=九段
jqdu,1=就读
jqff,1=纠纷
jqfj,1=就范
jqfl,1=奖勤罚懒
jqfu,1=舅父
jqge,1=九个
jqgh,1=酒缸
jqgo,1=救国
jqgr,1=酒馆
jqgs,1=九宫
jqgv,1=酒鬼
jqgy,1=究其根源
jqhv,1=就会
jqhc,1=就好
jqhe,1=纠合
jqhi,1=九曲回肠
jqhl,1=韭黄
jqho,1=救火
jqhu,1=救护
jqhz,1=酒后
jqia,1=纠察
jqig,1=九成
jqih,1=酒厂
jqij,1=纠缠
jqiu,1=救出
jqjb,1=就近
jqji,1=救济
jqjk,1=究竟
jqjl,1=九江
jqjp,1=纠结
jqjq,1=舅舅
jqju,1=旧居
jqjx,1=酒家
jqlk,1=酒令
jqll,1=酒量
jqlq,1=久留
jqls,1=九龙
jqlw,1=酒类
jqlz,1=酒楼
jqma,1=舅妈
jqmc,1=旧貌
jqmg,1=旧梦
jqmk,1=救命
jqmu,1=舅母
jqn,1=几千年
jqnm,1=九年
jqng,1=就能
jqnl,1=酒酿
jqpk,1=酒瓶
jqpp,1=精确匹配
jqqb,1=就寝
jqqm,1=九千
jqqi,1=酒气
jqqn,1=静悄悄
jqqr,1=酒泉
jqqx,1=捐弃前嫌
jqr,1=机器人
jqrf,1=救人
jqrz,1=酒肉
jqse,1=酒色
jqsr,1=就算
jqsv,1=九岁
jqsu,1=激情四射
jqsn,1=尽其所能
jqtm,1=九天
jqtp,1=旧帖
jqtu,1=酒徒
jqts,1=酒桶
jqui,1=就是
jqug,1=救生
jqut,1=鸡犬升天
jquu,1=救赎
jquv,1=酒水
jquz,1=就手
jqvg,1=纠正
jqvd,1=旧宅
jqve,1=九折
jqvf,1=就诊
jqvl,1=酒庄
jqvh,1=旧账
jqvi,1=救治
jqvs,1=酒盅
jqvu,1=救助
jqvz,1=九州
jqwj,1=九万
jqwo,1=酒窝
jqwu,1=九五
jqww,1=久违
jqx,1=进取心
jqxb,1=揪心
jqxi,1=酒席
jqxl,1=就像
jqxn,1=九霄
jqxu,1=就绪
jqxm,1=酒仙
jqyc,1=就要
jqye,1=就业
jqyh,1=久仰
jqyi,1=就医
jqyj,1=酒宴
jqyk,1=见钱眼开
jqyr,1=救援
jqyt,1=九月
jqyu,1=交浅言深
jqzd,1=救灾
jqzc,1=酒糟
jqzo,1=就座
jqzv,1=酒醉
jqdx,1=剑桥大学
jqpm,1=剧情片
jraf,1=见人矮三分
jrbb,1=坚韧不拔
jrbn,1=卷标
jrbt,1=截然不同
jrdd,1=倦怠
jrds,1=卷动
jrev,1=戛然而止
jrfa,1=卷发
jrgu,1=眷顾
jrh,1=尖锐化
jrhi,1=噤若寒蝉
jrhx,1=绢花
jrii,1=卷尺
jris,1=君辱臣死
jriz,1=静若处子
jrjb,1=卷进
jrjj,1=渐入佳境
jrjv,1=见仁见智
jrjy,1=假仁假义
jrke,1=镌刻
jrkr,1=捐款
jrkl,1=节日快乐
jrlm,1=眷恋
jrlx,1=寄人篱下
jrmc,1=卷毛
jrpy,1=酒肉朋友
jrpu,1=坚如磐石
jrqm,1=捐钱
jrqu,1=卷曲
jrql,1=拒人千里
jrqw,1=拒人千里之外
jrrc,1=既然如此
jrrs,1=倦容
jrru,1=卷入
jrry,1=尽如人意
jrse,1=倦色
jrso,1=卷缩
jrtx,1=吉人天相
jruo,1=假如说
jrub,1=敬如上宾
jrue,1=卷舌
jrum,1=敬若神明
jruu,1=眷属
jruh,1=见人说人话
jrvu,1=捐助
jrvi,1=卷纸
jrvn,1=急人之难
jrvj,1=惊人之举
jrvz,1=卷轴
jrwu,1=捐物
jrwj,1=金融危机
jrxk,1=兼容性
jrxm,1=捐献
jrxq,1=娟秀
jrye,1=金融业
jryi,1=倦意
jryj,1=卷烟
jrys,1=隽永
jryh,1=圈养
jryu,1=孑然一身
jryw,1=拒人于千里之外
jryx,1=井然有序
jryy,1=佳人有约
jrzg,1=捐赠
jrzs,1=卷宗
jrzx,1=吉人自有天相
jrzz,1=矫揉造作
jsbj,1=见死不救
jsbr,1=己所不欲，勿施于人
jsby,1=己所不欲
jscq,1=酒色财气
jsdi,1=集散地
jsfu,1=救死扶伤
jsgy,1=集思广益
jsji,1=计算机
jsjk,1=窘境
jsjs,1=炯炯
jskb,1=尖酸刻薄
jskl,1=窘况
jsky,1=窘困
jsle,1=急死了
jspo,1=窘迫
jsqi,1=计算器
jsrj,1=迥然
jstd,1=窘态
jsug,1=江苏省
jsvt,1=酒色之徒
jswj,1=见所未见
jsxl,1=窘相
jsyi,1=迥异
jsyu,1=九死一生
jspm,1=惊悚片
jtb,1=剪贴板
jtbi,1=绝壁
jtbj,1=绝版
jtbp,1=诀别
jtbu,1=绝不
jtce,1=决策
jtde,1=觉得
jtdd,1=惊天动地
jtdk,1=决定
jtdr,1=决断
jtdv,1=绝对
jtdz,1=决斗
jtdu,1=惊天地泣鬼神
jtfh,1=借题发挥
jtfw,1=绝非
jtgr,1=晶体管
jtgs,1=集团公司
jtgy,1=姜太公钓鱼
jthc,1=绝好
jthl,1=惊涛骇浪
jtho,1=绝活
jthz,1=绝后
jthd,1=集体活动
jtia,1=觉察
jtif,1=绝尘
jtih,1=绝唱
jtil,1=卷土重来
jtiu,1=决出
jtj,1=交通局
jtje,1=交头接耳
jtji,1=绝技
jtjk,1=绝境
jtjl,1=倔强
jtjn,1=绝交
jtjt,1=决绝
jtju,1=绝句
jtjx,1=绝佳
jtjy,1=几天几夜
jtkd,1=掘开
jtkz,1=决口
jtlp,1=决裂
jtly,1=绝伦
jtle,1=焦头烂额
jtli,1=脚踏两只船
jtln,1=进退两难
jtlj,1=景泰蓝
jtlu,1=绝路
jtmi,1=绝密
jtmn,1=绝妙
jtmw,1=绝美
jtnn,1=九头鸟
jtpw,1=绝配
jtqi,1=崛起
jtqk,1=绝情
jtqn,1=诀窍
jtqu,1=攫取
jtrj,1=决然
jtsb,1=家徒四壁
jtsd,1=决赛
jtse,1=角色
jtsk,1=狡兔三窟
jtsr,1=决算
jtsp,1=狡兔死走狗烹
jttu,1=掘土
jtty,1=叫天天不应
jtua,1=绝杀
jtud,1=脚踏实地
jtug,1=决胜
jtui,1=爵士
jtuj,1=进退失据
jtvc,1=绝招
jtvg,1=绝症
jtvj,1=决战
jtvs,1=绝种
jtvu,1=角逐
jtvf,1=家庭主妇
jtwd,1=经天纬地
jtwg,1=进退维谷
jtwh,1=绝望
jtwm,1=进退无门
jtwu,1=觉悟
jtww,1=爵位
jtwx,1=具体问题具体分析
jtxb,1=决心
jtxk,1=觉醒
jtxl,1=绝响
jtxt,1=绝学
jtxw,1=街头巷尾
jtxx,1=精挑细选
jtxy,1=街谈巷议
jtyi,1=决议
jtyj,1=鸡同鸭讲
jtyn,1=金童玉女
jtyr,1=绝缘
jtyu,1=绝育
jtze,1=抉择
jtzv,1=噘嘴
jtzy,1=家庭作业
jtzm,1=兼听则明
jtzi,1=简体字
jtdx,1=交通大学
jtyh,1=交通银行
juab,1=济世安邦
juam,1=济世安民
juao,1=倨傲
jubc,1=举报
jubf,1=剧本
jubj,1=举办
jubk,1=举兵
jubm,1=巨变
jubu,1=局部
jubw,1=具备
jubx,1=兼收并蓄
jubl,1=接受不了
jubr,1=今时不同往日
jubg,1=据实禀告
jubv,1=精神不振
juci,1=据此
jucj,1=聚餐
juco,1=举措
jucu,1=局促
juda,1=巨大
judq,1=见识短浅
judj,1=家书抵万金
judl,1=绝世独立
judm,1=据点
judo,1=居多
judr,1=句段
juds,1=举动
judu,1=剧毒
judi,1=江山代有才人出
juee,1=巨额
jufa,1=句法
jufg,1=飓风
jufj,1=举凡
jufl,1=精神分裂
jufh,1=健身房
jugl,1=聚光
jugo,1=举国
jugr,1=举世公认
jugs,1=鞠躬
jugu,1=巨贾
